ID,SampleID,SampleType,Specimen type,Type,Read count,Corynebacterium,Kocuria,Micrococcus,Friedmanniella,Cutibacterium,Deinococcus,Staphylococcus,Streptococcus,Finegoldia,Paracoccus,Acinetobacter,Moraxella,Pseudomonas,Aureobasidium,Parastagonospora,Aspergillus,Botrytis,Hebeloma,Serpula,Postia,Grifola,Fomitiporia,Escherichia,Klebsiella,Coprinopsis,Ganoderma,Wolfiporia,Pestalotiopsis,Prevotella,Veillonella,Malassezia,Methylibium,Stereum,Heterobasidion,Trametes,Trichoderma,Schizophyllum,Dichomitus,Others
99,HMSP1640,Indoor air,Sample,Samples,8744,2.058554437,1.315187557,1.543915828,0,2.458828911,1.944190302,0.320219579,0.54894785,0,2.23010064,1.29231473,1.052150046,1.0978957,0,0,1.566788655,0,0,1.349496798,2.561756633,3.888380604,0,0,0,2.058554437,3.84263495,0,0,0.011436414,0,14.45562672,0,0,0,3.2936871,0.102927722,2.824794145,31.49588289,16.68572735
100,HMSP1641,Outdoor air,Sample,Samples,5025,3.323383085,0.656716418,2.208955224,0,1.791044776,0,0.47761194,0,0,2.666666667,1.034825871,1.233830846,0.199004975,0,0,0.417910448,0,0,1.452736318,2.388059701,3.60199005,0,0,0,5.452736318,5.810945274,2.606965174,0,0,0,8.577114428,0,0,0,3.263681592,0,2.288557214,34.60696517,15.94029851
101,HMSP1642,Surface,Sample,Samples,9160,2.598253275,0.709606987,1.211790393,0,3.438864629,0.414847162,3.548034934,1.703056769,1.244541485,2.958515284,3.897379913,5.294759825,1.135371179,0,0,4.061135371,0,0,0,0.687772926,0.862445415,1.277292576,2.216157205,1.179039301,0.622270742,0.96069869,1.102620087,1.124454148,0.447598253,0.109170306,12.29257642,0,0,0,0.644104803,0,1.211790393,4.006550218,39.03930131
102,HMSP1645,Indoor air,Sample,Samples,10221,1.311026318,4.647294785,2.886214656,0,1.487134331,1.633891009,0.430486254,0.9098914,0,2.954701106,1.976323256,1.359945211,2.79816065,0,0,1.418647882,0,0,0.156540456,0.303297133,0.352216026,0,0,0,0.763134723,1.203404755,0,0,0.039135114,0,6.995401624,0,0,0,0.528324039,0.146756677,0.146756677,7.425887878,58.12542804
103,HMSP1646,Outdoor air,Sample,Samples,9489,0.906312572,3.804405101,2.655706608,0,1.148698493,0,0.843081463,0,0,4.110022131,1.443777005,1.296237749,0.210770366,0,0,0.031615555,0,0,0.094846665,0.137000738,0.179154811,0,0,0,0.969543682,0.895774054,0.084308146,0,0,0,5.047950258,0,0,0,0.284539994,0,0.105385183,2.803245864,72.94762356
104,HMSP1647,Surface,Sample,Samples,6003,1.615858737,6.496751624,4.381142762,0,0.816258537,2.548725637,1.482592037,0.966183575,0.616358487,2.06563385,3.764784275,1.882392137,2.165583875,0,0,22.93853073,0,0,0,0.06663335,0.083291687,0.166583375,3.315009162,1.715808762,0.349825087,0.216558387,0.083291687,3.581542562,0.049975012,0,4.747626187,0,0,0,0.149925037,0,0.016658337,0.33316675,33.38330836
105,HMSP1655,Indoor air,Sample,Samples,17893,4.510143632,1.207175991,0.36885933,0,0.821550327,0.095009221,0.508578774,0.374448108,0,0.581232884,1.67663332,1.922539541,0.720952328,0,0,1.128933102,0,0,0.391214441,0.793606438,0.938914659,0,0,0,0.206784776,0.502989996,0,0,0.027943889,0,13.64779523,0,0,0,0.514167552,0.016766333,0.441513441,3.425920751,65.17632594
106,HMSP1656,Outdoor air,Sample,Samples,2941,1.088065284,0.374022441,1.700102006,0,0.850051003,0,0.952057123,0,0,1.904114247,1.734104046,0.408024481,0.238014281,0,0,2.82216933,0,0,2.006120367,6.018361102,7.072424345,0,0,0,2.448146889,7.582454947,6.766405984,0,0,0,2.142128528,0,0,0,3.060183611,0,3.128187691,26.21557293,21.48928936
107,HMSP1657,Surface,Sample,Samples,1338,2.316890882,0.523168909,0.149476831,0,0.67264574,0.149476831,1.046337818,0.896860987,0.074738416,5.156950673,1.718983558,1.270553064,1.793721973,0,0,11.28550075,0,0,0,0.373692078,0.298953662,0,1.34529148,1.34529148,0.074738416,0.149476831,0.224215247,2.391629297,0.298953662,0.074738416,10.68759342,0,0,0,0.074738416,0,0.448430493,0.747384155,54.40956652
108,HMSP1669,Indoor air,Sample,Samples,9605,1.176470588,0.353982301,0.239458615,0,0.104112441,0.083289953,0.010411244,0.104112441,0,0.353982301,0.30192608,0.312337324,0.395627277,0,0,0.760020822,0,0,1.946902655,3.76887038,4.549713691,0,0,0,2.696512233,2.404997397,0,0,0,0,0.947423217,0,0,0,2.675689745,0.031233732,28.20406039,23.40447683,25.17438834
